timestamp,scenario,cpu,memory,allocated_memory_mb,latency_ms,error_rate,dependency_available,selected_decision,ce,ch,cc,cr,confidence,confidence_margin,correct,decision_latency_ms,recovery_success,mttr_ms,verification_attempts,pre_availability,post_availability,availability_gain,explanation
2026-07-16T21:08:29.539192+00:00,Service Dependency Failure,0.0,2.1032,0.0,0.7802,83.3333,0.0,Restart Dependency,0.9,1.0,0.94,0.9,0.934121,0.015364,1,0.047501,1,10.1075,1,0.0,1.0,1.0,"Restart Dependency was selected with confidence 0.934. Dependency availability was 0.00, error rate was 83.33%, and latency was 0.78 ms. The confidence margin over Circuit Breaker was 0.015."
2026-07-16T21:09:08.321273+00:00,Service Dependency Failure,0.0,2.1042,0.0,1.1772,62.0,0.0,Restart Dependency,0.9,1.0,0.94,0.9,0.934121,0.015364,1,0.063619,1,20.2163,1,0.0,1.0,1.0,"Restart Dependency was selected with confidence 0.934. Dependency availability was 0.00, error rate was 62.00%, and latency was 1.18 ms. The confidence margin over Circuit Breaker was 0.015."
2026-07-16T21:15:32.898229+00:00,Service Dependency Failure,0.0,2.1002,0.0,0.8248,62.0,0.0,Restart Dependency,0.9,1.0,0.94,0.9,0.934121,0.015364,1,0.049347,1,11.3943,1,0.0,1.0,1.0,"Restart Dependency was selected with confidence 0.934. Dependency availability was 0.00, error rate was 62.00%, and latency was 0.82 ms. The confidence margin over Circuit Breaker was 0.015."
2026-07-16T21:26:38.129617+00:00,Application Latency,0.0,2.1006,0.0,604.6916,0.0,1.0,Rollback,0.420371,0.388395,0.94,0.91,0.61132,0.168889,1,0.044531,1,17.8448,1,1.0,1.0,0.0,"Rollback was selected with confidence 0.611. Observed latency reached 604.69 ms, while CPU usage was 0.00% and dependency availability was 1.00. The confidence margin over Restart Service was 0.169."
2026-07-16T21:29:04.578247+00:00,Application Latency,1.0,2.1014,0.0,604.6998,0.0,1.0,Rollback,0.420375,0.3884,0.94,0.91,0.611324,0.168889,1,0.054673,1,10.6213,1,1.0,1.0,0.0,"Rollback was selected with confidence 0.611. Observed latency reached 604.70 ms, while CPU usage was 1.00% and dependency availability was 1.00. The confidence margin over Restart Service was 0.169."
2026-07-16T21:38:30.205816+00:00,Application Error Injection,0.0,2.1048,0.0,2.5946,29.0,1.0,Rollback,0.69375,0.68,0.95,0.92,0.80132,0.170187,1,0.047933,1,10.341,1,0.6375,1.0,0.3625,"Rollback was selected with confidence 0.801. The observed error rate was 29.00% with latency of 2.59 ms. CPU usage was 0.00%, and dependency availability was 1.00. The confidence margin over Restart Service was 0.170."
2026-07-16T21:41:28.900432+00:00,Application Error Injection,0.0,2.0907,0.0,2.67,26.0,1.0,Rollback,0.6375,0.62,0.95,0.92,0.766648,0.169051,1,0.039149,1,10.7761,1,0.675,1.0,0.325,"Rollback was selected with confidence 0.767. The observed error rate was 26.00% with latency of 2.67 ms. CPU usage was 0.00%, and dependency availability was 1.00. The confidence margin over Restart Service was 0.169."
2026-07-16T21:41:57.278250+00:00,Application Error Injection,0.0,2.0907,0.0,2.7753,30.0,1.0,Rollback,0.7125,0.7,0.95,0.92,0.812547,0.170626,1,0.036961,1,9.6997,1,0.625,1.0,0.375,"Rollback was selected with confidence 0.813. The observed error rate was 30.00% with latency of 2.78 ms. CPU usage was 0.00%, and dependency availability was 1.00. The confidence margin over Restart Service was 0.171."
2026-07-16T21:42:29.726089+00:00,Memory Pressure,0.0,17.3413,300.0,3.1852,0.0,1.0,Restart Service,0.873413,0.88006,0.92,0.93,0.900535,0.154393,1,0.030947,1,47.3366,1,1.0,1.0,0.0,Restart Service was selected with confidence 0.901. Injected memory was 300.00 MB and process memory usage was 17.34%.
2026-07-16T21:49:32.914484+00:00,CPU Resource Exhaustion,92.4,2.0919,0.0,17.0272,0.0,1.0,Scale Out,0.636,0.5936,0.95,0.89,0.751651,0.151688,1,0.036836,1,54.008,1,1.0,1.0,0.0,Scale Out was selected with confidence 0.752. CPU usage was 92.40% and latency was 17.03 ms. The confidence margin over Restart Service was 0.152.
